#---------------
# UCP PROD
#---------------
# else  - red
# green - wget green, else ping - yellow
#----------------------------------------------------------------------
#     Groupname;InstanceName;URL;Port;OverlayPort;Priority;Label
#----------------------------------------------------------------------

UCPProd;sv3-orca-0313e1b4;sv3-orca-0313e1b4.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e2b1;sv3-orca-0313e2b1.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e2b2;sv3-orca-0313e2b2.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e2b3;sv3-orca-0313e2b3.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e2b4;sv3-orca-0313e2b4.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e3b1;sv3-orca-0313e3b1.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e3b2;sv3-orca-0313e3b2.sv.splunk.com;12376;7946;1;0313e
#UCPProd;sv3-orca-0313e3b3;sv3-orca-0313e3b3.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e3b4;sv3-orca-0313e3b4.sv.splunk.com;12376;7946;1;0313e
#UCPProd;sv3-orca-0313e4b1;sv3-orca-0313e4b1.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e4b2;sv3-orca-0313e4b2.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e4b3;sv3-orca-0313e4b3.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e4b4;sv3-orca-0313e4b4.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e5b1;sv3-orca-0313e5b1.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e5b2;sv3-orca-0313e5b2.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e5b3;sv3-orca-0313e5b3.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e5b4;sv3-orca-0313e5b4.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e6b1;sv3-orca-0313e6b1.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e6b2;sv3-orca-0313e6b2.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e6b3;sv3-orca-0313e6b3.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e6b4;sv3-orca-0313e6b4.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e7b1;sv3-orca-0313e7b1.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e7b2;sv3-orca-0313e7b2.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e7b3;sv3-orca-0313e7b3.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e7b4;sv3-orca-0313e7b4.sv.splunk.com;12376;7946;1;0313e
UCPProd;sv3-orca-0313e8b1;sv3-orca-0313e8b1.sv.splunk.com;12376;7946;1;0313e
