# green - wget green, else ping - yellow
# else  - red
#Groupname;InstanceName;URL;Port
UCPProd0315e7;sv3-orca-0315e7b3;sv3-orca-0315e7b3.sv.splunk.com:12376;12376
UCPProd0309e4;sv3-orca-0309e4b3;sv3-orca-0309e4b3.sv.splunk.com:12376;12376
UCPProd0309e7;sv3-orca-0309e7b2;sv3-orca-0309e7b2.sv.splunk.com:12376;12376
UCPProd0308e3;sv3-orca-0308e3b2;sv3-orca-0308e3b2.sv.splunk.com:12376;12376
UCPProd0308e1;sv3-orca-0308e1b2;sv3-orca-0308e1b2.sv.splunk.com:12376;12376
UCPProd0312e6;sv3-orca-0312e6b1;sv3-orca-0312e6b1.sv.splunk.com:12376;12376
UCPProd0315e6;sv3-orca-0315e6b4;sv3-orca-0315e6b4.sv.splunk.com:12376;12376
UCPProd0310e3;sv3-orca-0310e3b2;sv3-orca-0310e3b2.sv.splunk.com:12376;12376
UCPProd0310e8;sv3-orca-0310e8b3;sv3-orca-0310e8b3.sv.splunk.com:12376;12376
UCPProd0409e0;sv3-orca-0409e0b3;sv3-orca-0409e0b3.sv.splunk.com:12376;12376
UCPProd0315e5;sv3-orca-0315e5b4;sv3-orca-0315e5b4.sv.splunk.com:12376;12376
UCPProd0313e3;sv3-orca-0313e3b2;sv3-orca-0313e3b2.sv.splunk.com:12376;12376
UCPProd0310e9;sv3-orca-0310e9b3;sv3-orca-0310e9b3.sv.splunk.com:12376;12376
UCPProd0310e1;sv3-orca-0310e1b2;sv3-orca-0310e1b2.sv.splunk.com:12376;12376
UCPProd0311e4;sv3-orca-0311e4b4;sv3-orca-0311e4b4.sv.splunk.com:12376;12376
UCPProd0314e7;sv3-orca-0314e7b1;sv3-orca-0314e7b1.sv.splunk.com:12376;12376
UCPProd0311e1;sv3-orca-0311e1b1;sv3-orca-0311e1b1.sv.splunk.com:12376;12376
UCPProd0409e1;sv3-orca-0409e1b4;sv3-orca-0409e1b4.sv.splunk.com:12376;12376
UCPProd0409e2;sv3-orca-0409e2b3;sv3-orca-0409e2b3.sv.splunk.com:12376;12376
UCPProd0314e7;sv3-orca-0314e7b2;sv3-orca-0314e7b2.sv.splunk.com:12376;12376
UCPProd0310e6;sv3-orca-0310e6b4;sv3-orca-0310e6b4.sv.splunk.com:12376;12376
UCPProd0408e1;sv3-orca-0408e1b1;sv3-orca-0408e1b1.sv.splunk.com:12376;12376
UCPProd0312e5;sv3-orca-0312e5b1;sv3-orca-0312e5b1.sv.splunk.com:12376;12376
UCPProd0308e0;sv3-orca-0308e0b2;sv3-orca-0308e0b2.sv.splunk.com:12376;12376
UCPProd0307e4;sv3-orca-0307e4b3;sv3-orca-0307e4b3.sv.splunk.com:12376;12376
UCPProd0408e2;sv3-orca-0408e2b2;sv3-orca-0408e2b2.sv.splunk.com:12376;12376
UCPProd0309e2;sv3-orca-0309e2b4;sv3-orca-0309e2b4.sv.splunk.com:12376;12376
UCPProd0311e9;sv3-orca-0311e9b3;sv3-orca-0311e9b3.sv.splunk.com:12376;12376
UCPProd0311e2;sv3-orca-0311e2b1;sv3-orca-0311e2b1.sv.splunk.com:12376;12376
UCPProd0314e9;sv3-orca-0314e9b4;sv3-orca-0314e9b4.sv.splunk.com:12376;12376
UCPProd0310e6;sv3-orca-0310e6b2;sv3-orca-0310e6b2.sv.splunk.com:12376;12376
UCPProd0311e3;sv3-orca-0311e3b1;sv3-orca-0311e3b1.sv.splunk.com:12376;12376
UCPProd0308e6;sv3-orca-0308e6b1;sv3-orca-0308e6b1.sv.splunk.com:12376;12376
UCPProd0315e7;sv3-orca-0315e7b1;sv3-orca-0315e7b1.sv.splunk.com:12376;12376
UCPProd0315e0;sv3-orca-0315e0b4;sv3-orca-0315e0b4.sv.splunk.com:12376;12376
UCPProd0408e8;sv3-orca-0408e8b4;sv3-orca-0408e8b4.sv.splunk.com:12376;12376
UCPProd0311e3;sv3-orca-0311e3b3;sv3-orca-0311e3b3.sv.splunk.com:12376;12376
UCPProd0313e6;sv3-orca-0313e6b3;sv3-orca-0313e6b3.sv.splunk.com:12376;12376
UCPProd0313e2;sv3-orca-0313e2b4;sv3-orca-0313e2b4.sv.splunk.com:12376;12376
UCPProd0314e8;sv3-orca-0314e8b1;sv3-orca-0314e8b1.sv.splunk.com:12376;12376
UCPProd0313e1;sv3-orca-0313e1b3;sv3-orca-0313e1b3.sv.splunk.com:12376;12376
UCPProd0310e4;sv3-orca-0310e4b4;sv3-orca-0310e4b4.sv.splunk.com:12376;12376
UCPProd0313e5;sv3-orca-0313e5b2;sv3-orca-0313e5b2.sv.splunk.com:12376;12376
UCPProd0311e3;sv3-orca-0311e3b4;sv3-orca-0311e3b4.sv.splunk.com:12376;12376
UCPProd0310e5;sv3-orca-0310e5b4;sv3-orca-0310e5b4.sv.splunk.com:12376;12376
UCPProd0311e7;sv3-orca-0311e7b4;sv3-orca-0311e7b4.sv.splunk.com:12376;12376
UCPProd0408e7;sv3-orca-0408e7b4;sv3-orca-0408e7b4.sv.splunk.com:12376;12376
UCPProd0310e0;sv3-orca-0310e0b3;sv3-orca-0310e0b3.sv.splunk.com:12376;12376
UCPProd0313e7;sv3-orca-0313e7b3;sv3-orca-0313e7b3.sv.splunk.com:12376;12376
UCPProd0310e2;sv3-orca-0310e2b4;sv3-orca-0310e2b4.sv.splunk.com:12376;12376
UCPProd0409e3;sv3-orca-0409e3b4;sv3-orca-0409e3b4.sv.splunk.com:12376;12376
UCPProd0311e7;sv3-orca-0311e7b1;sv3-orca-0311e7b1.sv.splunk.com:12376;12376
UCPProd0315e8;sv3-orca-0315e8b4;sv3-orca-0315e8b4.sv.splunk.com:12376;12376
UCPProd0310e7;sv3-orca-0310e7b4;sv3-orca-0310e7b4.sv.splunk.com:12376;12376
UCPProd0308e8;sv3-orca-0308e8b1;sv3-orca-0308e8b1.sv.splunk.com:12376;12376
UCPProd0309e3;sv3-orca-0309e3b1;sv3-orca-0309e3b1.sv.splunk.com:12376;12376
UCPProd0312e6;sv3-orca-0312e6b2;sv3-orca-0312e6b2.sv.splunk.com:12376;12376
UCPProd0312e5;sv3-orca-0312e5b3;sv3-orca-0312e5b3.sv.splunk.com:12376;12376
UCPProd0408e6;sv3-orca-0408e6b1;sv3-orca-0408e6b1.sv.splunk.com:12376;12376
UCPProd0311e6;sv3-orca-0311e6b4;sv3-orca-0311e6b4.sv.splunk.com:12376;12376
UCPProd0313e3;sv3-orca-0313e3b4;sv3-orca-0313e3b4.sv.splunk.com:12376;12376
UCPProd0409e0;sv3-orca-0409e0b1;sv3-orca-0409e0b1.sv.splunk.com:12376;12376
UCPProd0309e5;sv3-orca-0309e5b4;sv3-orca-0309e5b4.sv.splunk.com:12376;12376
UCPProd0310e9;sv3-orca-0310e9b2;sv3-orca-0310e9b2.sv.splunk.com:12376;12376
UCPProd0308e6;sv3-orca-0308e6b2;sv3-orca-0308e6b2.sv.splunk.com:12376;12376
UCPProd0313e9;sv3-orca-0313e9b4;sv3-orca-0313e9b4.sv.splunk.com:12376;12376
UCPProd0310e4;sv3-orca-0310e4b2;sv3-orca-0310e4b2.sv.splunk.com:12376;12376
UCPProd0409e2;sv3-orca-0409e2b1;sv3-orca-0409e2b1.sv.splunk.com:12376;12376
UCPProd0312e2;sv3-orca-0312e2b1;sv3-orca-0312e2b1.sv.splunk.com:12376;12376
UCPProd0313e0;sv3-orca-0313e0b1;sv3-orca-0313e0b1.sv.splunk.com:12376;12376
UCPProd0408e3;sv3-orca-0408e3b3;sv3-orca-0408e3b3.sv.splunk.com:12376;12376
UCPProd0313e6;sv3-orca-0313e6b1;sv3-orca-0313e6b1.sv.splunk.com:12376;12376
UCPProd0308e9;sv3-orca-0308e9b3;sv3-orca-0308e9b3.sv.splunk.com:12376;12376
UCPProd0308e5;sv3-orca-0308e5b3;sv3-orca-0308e5b3.sv.splunk.com:12376;12376
UCPProd0315e2;sv3-orca-0315e2b1;sv3-orca-0315e2b1.sv.splunk.com:12376;12376
UCPProd0408e0;sv3-orca-0408e0b1;sv3-orca-0408e0b1.sv.splunk.com:12376;12376
UCPProd0312e1;sv3-orca-0312e1b2;sv3-orca-0312e1b2.sv.splunk.com:12376;12376
UCPProd0311e5;sv3-orca-0311e5b2;sv3-orca-0311e5b2.sv.splunk.com:12376;12376
UCPProd0408e5;sv3-orca-0408e5b3;sv3-orca-0408e5b3.sv.splunk.com:12376;12376
UCPProd0309e7;sv3-orca-0309e7b4;sv3-orca-0309e7b4.sv.splunk.com:12376;12376
UCPProd0313e6;sv3-orca-0313e6b2;sv3-orca-0313e6b2.sv.splunk.com:12376;12376
UCPProd0310e4;sv3-orca-0310e4b1;sv3-orca-0310e4b1.sv.splunk.com:12376;12376
UCPProd0408e8;sv3-orca-0408e8b1;sv3-orca-0408e8b1.sv.splunk.com:12376;12376
UCPProd0314e3;sv3-orca-0314e3b1;sv3-orca-0314e3b1.sv.splunk.com:12376;12376
UCPProd0308e1;sv3-orca-0308e1b3;sv3-orca-0308e1b3.sv.splunk.com:12376;12376
UCPProd0310e2;sv3-orca-0310e2b2;sv3-orca-0310e2b2.sv.splunk.com:12376;12376
UCPProd0310e7;sv3-orca-0310e7b2;sv3-orca-0310e7b2.sv.splunk.com:12376;12376
UCPProd0310e4;sv3-orca-0310e4b3;sv3-orca-0310e4b3.sv.splunk.com:12376;12376
UCPProd0311e6;sv3-orca-0311e6b1;sv3-orca-0311e6b1.sv.splunk.com:12376;12376
UCPProd0312e0;sv3-orca-0312e0b4;sv3-orca-0312e0b4.sv.splunk.com:12376;12376
UCPProd0309e7;sv3-orca-0309e7b1;sv3-orca-0309e7b1.sv.splunk.com:12376;12376
UCPProd0310e9;sv3-orca-0310e9b4;sv3-orca-0310e9b4.sv.splunk.com:12376;12376
UCPProd0310e8;sv3-orca-0310e8b1;sv3-orca-0310e8b1.sv.splunk.com:12376;12376
UCPProd0315e4;sv3-orca-0315e4b1;sv3-orca-0315e4b1.sv.splunk.com:12376;12376
UCPProd0309e3;sv3-orca-0309e3b2;sv3-orca-0309e3b2.sv.splunk.com:12376;12376
